,year,category,artist,nominee,association
378,1995,Outstanding Contribution,Elton John,Elton John,BRIT Music Awards
379,1995,Best British Album,Blur,Blur,BRIT Music Awards
380,1995,Best British Dance Act,M People,M People,BRIT Music Awards
381,1995,Best British Female,Eddie Reader,Eddie Reader,BRIT Music Awards
382,1995,Best British Group,Blur,Blur,BRIT Music Awards
383,1995,Best British Male,Paul Weller,Paul Weller,BRIT Music Awards
384,1995,Best British Newcomer,Oasis,Oasis,BRIT Music Awards
385,1995,Best British Producer,Nellee Hooper,Nellee Hooper,BRIT Music Awards
386,1995,Best British Single,Blur,Blur,BRIT Music Awards
387,1995,Best British Video,Blur,Blur,BRIT Music Awards
388,1995,Best International Female,k.d. lang,k.d. lang,BRIT Music Awards
389,1995,Best International Group,REM,REM,BRIT Music Awards
390,1995,Best International Male,Prince,Prince,BRIT Music Awards
391,1995,Best International Newcomer,Lisa Loeb,Lisa Loeb,BRIT Music Awards
392,1995,Best Soundtrack/Cast Recording,Pulp Ficton,Pulp Ficton,BRIT Music Awards
393,1995,Outstanding Contribution,Elton John,Elton John,BRIT Music Awards
394,1996,Artist Of A Generation,Michael Jackson,Michael Jackson,BRIT Music Awards
395,1996,Best British Album,Oasis,Oasis,BRIT Music Awards
396,1996,Best British Dance Act,Massive Attack,Massive Attack,BRIT Music Awards
397,1996,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
398,1996,Best British Group,Oasis,Oasis,BRIT Music Awards
399,1996,Best British Male,Paul Weller,Paul Weller,BRIT Music Awards
400,1996,Best British Newcomer,Supergrass,Supergrass,BRIT Music Awards
401,1996,Best British Producer,Brian Eno,Brian Eno,BRIT Music Awards
402,1996,Best British Single,Take That,Take That,BRIT Music Awards
403,1996,Best British Video,Oasis,Oasis,BRIT Music Awards
404,1996,Best International Female,Bjork,Bjork,BRIT Music Awards
405,1996,Best International Group,Bon Jovi,Bon Jovi,BRIT Music Awards
406,1996,Best International Male,Prince,Prince,BRIT Music Awards
407,1996,Best International Newcomer,Alanis Morrisette,Alanis Morrisette,BRIT Music Awards
408,1996,Best Soundtrack/Cast Recording,Batman Forever,Batman Forever,BRIT Music Awards
409,1996,Outstanding Contribution,David Bowie,David Bowie,BRIT Music Awards
410,1996,The Freddie Mercury Award,The Help Album For The Charity War Child,The Help Album For The Charity War Child,BRIT Music Awards
411,1996,Artist Of A Generation,Michael Jackson,Michael Jackson,BRIT Music Awards
412,1996,Best British Album,Oasis,Oasis,BRIT Music Awards
413,1996,Best British Dance Act,Massive Attack,Massive Attack,BRIT Music Awards
414,1996,Best British Female,Annie Lennox,Annie Lennox,BRIT Music Awards
415,1996,Best British Group,Oasis,Oasis,BRIT Music Awards
416,1996,Best British Male,Paul Weller,Paul Weller,BRIT Music Awards
417,1996,Best British Newcomer,Supergrass,Supergrass,BRIT Music Awards
418,1996,Best British Producer,Brian Eno,Brian Eno,BRIT Music Awards
419,1996,Best British Single,Take That,Take That,BRIT Music Awards
420,1996,Best British Video,Oasis,Oasis,BRIT Music Awards
421,1996,Best International Female,Bjork,Bjork,BRIT Music Awards
422,1996,Best International Group,Bon Jovi,Bon Jovi,BRIT Music Awards
423,1996,Best International Male,Prince,Prince,BRIT Music Awards
424,1996,Best International Newcomer,Alanis Morrisette,Alanis Morrisette,BRIT Music Awards
425,1996,Best Soundtrack/Cast Recording,Batman Forever,Batman Forever,BRIT Music Awards
426,1996,Outstanding Contribution,David Bowie,David Bowie,BRIT Music Awards
427,1996,The Freddie Mercury Award,The Help Album For The Charity War Child,The Help Album For The Charity War Child,BRIT Music Awards
428,1997,Best British Album,Manic Street Preachers,Manic Street Preachers,BRIT Music Awards
429,1997,Best British Dance Act,Prodigy,Prodigy,BRIT Music Awards
430,1997,Best British Female,Gabrielle,Gabrielle,BRIT Music Awards
431,1997,Best British Group,Manic Street Preachers,Manic Street Preachers,BRIT Music Awards
432,1997,Best British Male,George Michael,George Michael,BRIT Music Awards
433,1997,Best British Newcomer,Kula Shaker,Kula Shaker,BRIT Music Awards
434,1997,Best British Producer,John Leckie,John Leckie,BRIT Music Awards
435,1997,Best British Single,Spice Girls,Spice Girls,BRIT Music Awards
436,1997,Best British Video,Spice Girls,Spice Girls,BRIT Music Awards
437,1997,Best International Female,Sheryl Crow,Sheryl Crow,BRIT Music Awards
438,1997,Best International Group,Fugees,Fugees,BRIT Music Awards
439,1997,Best International Male,Beck,Beck,BRIT Music Awards
440,1997,Best International Newcomer,Robert Miles,Robert Miles,BRIT Music Awards
441,1997,Best Soundtrack/Cast Recording,Trainspotting,Trainspotting,BRIT Music Awards
442,1997,Outstanding Contribution,Bee Gees,Bee Gees,BRIT Music Awards
443,1997,Best British Album,Manic Street Preachers,Manic Street Preachers,BRIT Music Awards
444,1997,Best British Dance Act,Prodigy,Prodigy,BRIT Music Awards
445,1997,Best British Female,Gabrielle,Gabrielle,BRIT Music Awards
446,1997,Best British Group,Manic Street Preachers,Manic Street Preachers,BRIT Music Awards
