name,artist_names,popularity,release_date
Stay,"{'Zedd', 'Alessia Cara'}",56,2017-12-29
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)","{'DJ Snake', 'Sheck Wes', 'Offset', '21 Savage', 'Gucci Mane'}",5,2019-04-24
J'attends,{'SCH'},44,2017-05-05
Mr. Blue Sky,{'Electric Light Orchestra'},81,1977
9 to 5,{'Dolly Parton'},77,1980
Double Bang 5,{'Leto'},45,2019-01-18
Me Likey,{'Trippie Redd'},54,2018-06-22
Culture (feat. DJ Khaled),"{'Migos', 'DJ Khaled'}",51,2017-01-27
春愁,{'Mrs. GREEN APPLE'},64,2018-02-14
Tard la night,{'Damso'},47,2018-06-15
KEKE,"{'6ix9ine', 'Fetty Wap', 'A Boogie Wit da Hoodie'}",52,2018-01-14
Fume à fond,{'Lorenzo'},0,2018-02-23
Setting Fires,"{'The Chainsmokers', 'XYLØ'}",53,2016-11-04
달라달라 (DALLA DALLA),{'ITZY'},75,2019-02-12
Viva la Dealer - Gestört aber GeiL Remix,"{'SDP', 'Capital Bra', 'Gestört aber GeiL'}",65,2019-07-11
ain't on the map yet,{'Nulbarich'},43,2018-03-07
Paranoid,{'Post Malone'},75,2018-04-27
Nimmerland (feat. Bilderbuch),"{'RIN', 'Bilderbuch'}",54,2019-12-06
Freisein (feat. Xavier Naidoo),"{'Juju', 'Xavier Naidoo'}",56,2019-06-14
L'ancien,{'Ninho'},57,2019-03-22
Schwarze Locken,{'Capital Bra'},53,2019-04-12
QDH Family,{'MERO'},52,2019-09-27
Christmas Through Your Eyes,{'Gloria Estefan'},24,1993-09-27
Audacity (feat. Headie One),"{'Stormzy', 'Headie One'}",71,2019-12-13
Air Max,"{'Rim'K', 'Ninho'}",62,2018-07-25
False God,{'Taylor Swift'},70,2019-08-23
Liz,"{'Nines', 'Tee Supreme'}",45,2018-04-20
Chanel (Go Get It) {feat. Gunna & Lil Baby},"{'Young Thug', 'Young Stoner Life Records', 'Gunna', 'Lil Baby'}",70,2018-08-17
PUSH !T (feat. Elias),"{'Summer Cem', 'Elias'}",45,2018-12-21
40 ans,{'Hornet La Frappe'},34,2018-09-21
Droptop,"{'T MULLA', 'Hardy Caprio'}",60,2019-06-21
Coladinha em Mim - Ao Vivo,"{'Gustavo Mioto', 'Anitta'}",57,2017-12-01
White Privilege,{'Sam Fender'},55,2019-09-13
"Holiday (feat. Snoop Dogg, John Legend & Takeoff)","{'Calvin Harris', 'Snoop Dogg', 'John Legend', 'Takeoff'}",56,2017-06-30
I See You Shining,{'Nines'},43,2018-04-06
Not Today,{'BTS'},3,2017-02-13
Secreto,"{'Anuel AA', 'KAROL G'}",80,2019-01-15
Locodinho,"{'Luciano', 'Eno'}",45,2018-11-23
Mine,{'Bazzi'},12,2017-10-12
Quer mais?,"{'POCAH', 'MC Mirella'}",60,2018-11-01
Emoji A Chain,{'Migos'},54,2018-01-26
Sidechick,{'Majoe'},37,2017-02-10
Santinha - Ao Vivo,{'Leo Santana'},51,2016-11-25
Soaked,{'Bene'},11,2018-09-14
A Violent Noise,{'The xx'},54,2017-01-13
Santa Baby,{'Madonna'},0,1987-01-01
Chanel,{'Frank Ocean'},82,2017-03-10
Big Fish,"{'Chance the Rapper', 'Gucci Mane'}",55,2019-07-26
Better,"{'Lil Yachty', 'Stefflon Don'}",56,2017-05-26
In Check,{'Bryson Tiller'},51,2017-05-26
Olay Molay,"{'Sa4', 'Hasan.K', 'Gringo'}",43,2017-11-10
Patron,"{'JAZN', 'Azzi Memo'}",44,2019-01-18
Worst In Me,{'ONE OK ROCK'},48,2019-02-15
恋と愛,{'J SOUL BROTHERS III'},28,2018-05-09
"Like A Riddle (feat. Hearts & Colors, Adam Trigger)","{'Felix Jaehn', 'Hearts & Colors', 'Adam Trigger'}",5,2017-10-06
OMG (feat. Quavo),"{'Camila Cabello', 'Quavo'}",67,2017-08-03
Walk Alone,"{'Rudimental', 'Tom Walker'}",64,2018-10-26
Te Boté - Remix,"{'Nio Garcia', 'Casper Magico', 'Bad Bunny', 'Darell', 'Ozuna', 'Nicky Jam'}",80,2018-04-13
Deutsche Qualität,"{'Mister V', 'Samy Ceezy'}",42,2017-05-19
Heartbreaker,{'Hava'},51,2019-04-19
Christina,{'Dadju'},0,2018-10-05
Ring (feat. Kehlani),"{'Cardi B', 'Kehlani'}",70,2018-04-06
Bella ciao - HUGEL Remix,"{'El Profesor', 'HUGEL'}",62,2018-04-13
ひこうき雲,{'Yumi Arai'},55,1973-11-20
Madre mia (feat. Ninho),"{'Sadek', 'Ninho'}",60,2017-09-15
Hyperreal,"{'Flume', 'KUČKA'}",0,2017-05-05
Gilera,"{'Jul', 'Heuss L'enfoiré'}",47,2019-03-09
We Are Never Ever Getting Back Together,{'Taylor Swift'},75,2012-10-21
Wave,{'Justin Timberlake'},50,2018-02-02
Pink Lemonade,{'TWICE'},44,2018-05-16
Não sou obrigada,{'POCAH'},72,2019-03-29
On The Loose,{'Niall Horan'},4,2017-10-20
Clartin,{'J Hus'},44,2017-05-12
Gaiola É o Troco,"{'MC Du Black', 'DJ 2F'}",77,2019-06-07
Drive By,"{'Sadek', 'Dinos', 'Ixzo'}",26,2018-10-05
For Me,{'Krept & Konan'},0,2017-09-29
I Bet You Look Good On The Dancefloor,{'Arctic Monkeys'},72,2006-01-29
80 Millionen,{'Max Giesinger'},6,2016-04-08
Love$ick (feat. A$AP Rocky),"{'Mura Masa', 'A$AP Rocky'}",7,2017-07-14
Open Safe,{'Lil Wayne'},56,2018-09-28
Sólo Contigo,"{'Topic', 'Juan Magán', 'Lena'}",51,2018-06-22
That's What I Like,{'Bruno Mars'},82,2016-11-17
Ice Melts,"{'Drake', 'Young Thug'}",62,2017-03-18
会いたいよ,{'手塚 翔太'},52,2019-07-07
Turbo,{'RAF Camora'},34,2017-11-24
Madame,{'Luciano'},50,2019-08-29
Champignon,{'Sirius'},40,2018-09-13
Into The Abyss,{'Hilltop Hoods'},50,2019-02-22
Meilleur cauchemar,{'PLK'},48,2019-09-13
Ghetto Part 2,"{'Miami Yacine', 'Nash'}",36,2017-10-13
KANGA,"{'6ix9ine', 'Kanye West'}",2,2018-11-27
Giants,{'Lights'},25,2017-06-23
The Other Side,"{'Hugh Jackman', 'Zac Efron'}",34,2017-12-08
The Man With The Bag,{'Kay Starr'},23,2010-07-26
Paradies,"{'Ufo361', 'RAF Camora'}",58,2018-08-17
I Love You Dwayne,{'Lil Wayne'},50,2018-09-28
Wrapped in Red,{'Kelly Clarkson'},37,2013-10-25
くだらないの中に,{'Gen Hoshino'},48,2011-09-28
Onze e Pouquinho,{'Dilsinho'},72,2019-10-18
Pra Me Refazer,"{'Sandy', 'ANAVITÓRIA'}",57,2018-11-23
Tokyo,{'Naps'},46,2019-06-28
HSHC,"{'PA Sports', 'Kollegah'}",0,2017-05-05
Pop Virus,{'Gen Hoshino'},55,2018-12-19
Schüsse fallen (feat. Samra),"{'Capital Bra', 'Samra'}",14,2018-11-02
Rain,{'The Script'},65,2017-09-01
Vai perereca,{'MC Levin'},57,2018-11-14
A Thousand Bad Times,{'Post Malone'},77,2019-09-06
High Without Your Love,{'Loote'},1,2017-05-05
Antidote,{'Travis Scott'},79,2015-09-04
やさしくなりたい,{'Kazuyoshi Saito'},56,2013-10-23
Pam Pam,"{'Azet', 'Zuna'}",60,2019-03-08
Ipséité,{'Damso'},0,2018-04-28
Better Days,{'Hedley'},0,2017-08-18
Le temps passe,{'4Keus Gang'},0,2018-02-02
Beautiful,{'Bazzi'},15,2018-04-12
Wey,{'DTF'},43,2019-10-11
Bubalu,"{'Becky G', 'Prince Royce', 'DJ Luian', 'Mambo Kingz', 'Anuel AA'}",74,2018-11-06
Pas le choix,"{'Lartiste', 'Sofiane', 'Kaaris'}",34,2018-10-04
Promenade des Anglais,{'Eva'},45,2019-07-05
Korb,{'Hava'},58,2019-07-05
Fire,{'Shota Shimizu'},22,2017-06-30
Midsummer Madness,"{'88rising', 'Joji', 'Rich Brian', 'Higher Brothers', 'AUGUST 08'}",77,2018-07-20
C'est la guerre,"{'Naps', 'Rohff'}",42,2019-06-28
Je voulais (feat. Laguardia),"{'Marwa Loud', 'Laguardia'}",0,2018-03-09
Alles weg,{'Kontra K'},53,2019-05-24
computiful,{'Cro'},44,2017-09-08
